OBJECTID,OBJECTID,Onstreet,Atstreet,x,y,Month,Bridge_ID,DirFrom,LocationID,PkHrVol,Max24HrDay,PkHrDay,PkHrTime,PkHrAMPM,Month2,AWT,Max24HrVol,YearTxt,Year,created_user,created_date,last_edited_user,last_edited_date,GlobalID,x2,y2
59,30,Aubuchon Rd,Missouri Bottom Rd,843458.8875485,1079245.42031732,5,122-C,E,30,670,Fri,Fri,0.125,PM,May,4880,6200,2023,2023,lhale_stlcogis3,44748.6141215856,lhale_stlcogis3,44748.6141215856,{BA982858-8DD8-42CA-8BFC-B6951AF5A03D},843458.887548495,1079245.42031732
60,31,Aubuchon Rd,Teson Rd,848029.52112374,1082466.5638094,7,131-C,NE,31,962,Fri,Mon,5:00,PM,July,7760,8278,2012,2012,,,HY4TCF,45275.9079513889,{A00AC950-40D0-4EEB-AD22-340BCF0D1AC8},848029.521123745,1082466.5638094
61,31,Aubuchon Rd,Teson Rd,847922.66339783,1082348.71824457,6,131-C,NE,31,670,Thu,Wedn,0.166666666666667,PM,June,6160,6360,2023,2023,lhale_stlcogis3,44748.6141215856,lhale_stlcogis3,44748.6141215856,{D4F67F40-B5B6-457B-A06E-A7883AEA4CFD},847922.66339783,1082348.71824457
62,32,Aubuchon Rd,Teson Rd,847922.66339783,1082348.71824457,7,"123, 124",SE,32,1001,Fri,Mon,4:00,PM,July,8180,8755,2012,2012,,,HY4TCF,45275.9079513889,{B4011DB2-31C0-4B62-80EC-BB0AC2EF4936},847922.66339783,1082348.71824457
63,32,Aubuchon Rd,Teson Rd,848029.52112374,1082466.5638094,6,"123, 124",SE,32,710,Thu,Wedn,0.125,PM,June,6540,6710,2023,2023,lhale_stlcogis3,44748.6141215856,lhale_stlcogis3,44748.6141215856,{032FEE2A-B361-4212-96A9-7739E8015FD0},848029.521123745,1082466.5638094
64,33,Avenue H,Bayless Ave,881192.27074299,987327.2560569,9, ,S,33,317,Wed,Thu,5:00,PM,September,3340,3473,2015,2015,,,HY4TCF,45275.9079513889,{121F4243-2EBE-411B-B5FF-F21DA8D6D8A5},881192.270742994,987327.256056905
65,33,Avenue H,Bayless Ave,881192.27074299,987327.2560569,9,,S,33,317,Wed,Thu,5:00,PM,September,3340,3473,2015,2015,lhale_stlcogis3,44748.6141215856,lhale_stlcogis3,44748.6141215856,{0145723C-BEB0-4546-9765-4A3D454F1812},881192.270742994,987327.256056905
66,34,Avenue H,Hoffmeister Ave,880337.23603575,986207.46466132,9, ,S,34,224,Fri,Tue,5:00,PM,September,2130,2186,2015,2015,,,HY4TCF,45275.9079513889,{0A8378D2-C570-490C-8D6A-371319B7E626},880337.236035746,986207.464661323
67,34,Avenue H,Hoffmeister Ave,880337.23603575,986207.46466132,7,,S,34,270,Tues,Tues,0.208333333333333,PM,July,2800,2970,2023,2023,lhale_stlcogis3,44748.6141215856,lhale_stlcogis3,44748.6141215856,{977A03BD-FBC7-416C-8978-DA82CEE86FFA},880337.236035746,986207.464661323
68,35,Avenue H,Mt Olive Rd,878983.06945274,984401.90888924,9, ,NE,35,172,Thu,Tue,5:00,PM,September,1270,1282,2015,2015,,,HY4TCF,45275.9079513889,{6FFE738F-A5A2-4608-B920-68CA0A277172},878983.069452744,984401.908889242
69,35,Avenue H,Mt Olive Rd,878983.06945274,984401.90888924,8,,NE,35,110,Fri,Thurs,0.25,PM,August,1070,1130,2023,2023,lhale_stlcogis3,44748.6141215856,lhale_stlcogis3,44748.6141215856,{56B8EC20-73AC-47E2-9F15-64A776A211DB},878983.069452744,984401.908889242
70,1641,Ballas Rd,Clayton Rd,836327.75614149,1019002.59887407,4,,N,1091,1965,Wed,Wed,4:00,PM,April,18730,19330,2014,2014,lhale_stlcogis3,44748.6141215856,lhale_stlcogis3,44748.6141215856,{87747F9D-A3B1-4EF7-B915-52BC8DEBAF51},836327.756141495,1019002.59887407
71,1640,Ballas Rd,Clayton Rd,836323.2640245,1018524.85507891,4,,S,1092,1420,Wed,Thurs,0.166666666666667,PM,April,11500,12800,2024,2024,lhale_stlcogis3,44748.6141215856,lhale_stlcogis3,44748.6141215856,{ED073589-379F-476E-B34E-05A99A5C3E3D},836323.264024496,1018524.85507891
72,1015,Ballas Rd,Clayton Rd,836327.75614149,1019002.59887407,4, ,N, ,1965,Wed,Wed,4:00,PM,April,18730,19330,2014,2014,HY4KLS,41963.7248148148,HY4TCF,45275.908599537,{1AAE72AA-C676-451A-BC4F-0C3A272D32BE},836327.756141495,1019002.59887407
73,1014,Ballas Rd,Clayton Rd,836323.2640245,1018524.85507891,4, ,S, ,1352,Wed,Wed,5:00,PM,April,12700,12987,2014,2014,HY4KLS,41963.7240393519,HY4TCF,45275.908599537,{F312C59D-9232-462A-AA8E-F38B2E764930},836323.264024496,1018524.85507891
74,36,Ballas Rd,Dougherty Ferry Rd,836368.64516733,1001694.91728216,4, ,N,36,1183,Fri,Fri,5:00,PM,April,9230,10650,2011,2011,,,HY4TCF,45275.9079513889,{3DB34D1F-72AF-489D-A537-37C1FCEEDAB5},836368.645167328,1001694.91728216
75,36,Ballas Rd,Dougherty Ferry Rd,836355.624196,1001529.98683774,7,,N,36,950,Fri,Tue,4:00,PM,July,9230,9710,2019,2019,lhale_stlcogis3,44748.6141215856,TFrazier_stlcogis,44748.8535312153,{36D8F691-9735-4390-B719-A274DA58148A},836355.624195997,1001529.98683774
76,37,Ballas Rd,Dougherty Ferry Rd,836355.624196,1001529.98683774,4, ,S,37,854,Fri,Fri,5:00,PM,April,7660,8482,2011,2011,,,HY4TCF,45275.9079513889,{71CCC9F1-A905-48CE-AA70-22E2DBDF8FDF},836355.624195997,1001529.98683774
77,37,Ballas Rd,Dougherty Ferry Rd,836368.64516733,1001694.91728216,6,,S,37,820,Thu,Thu,5:00,PM,June,8870,9120,2019,2019,lhale_stlcogis3,44748.6141215856,TFrazier_stlcogis,44748.8535369907,{35235D4C-ACB8-474E-8070-91F430DD1822},836368.645167328,1001694.91728216
78,38,Ballas Rd,Manchester Rd,836201.97850591,1008237.45209732,4, ,S,38,1371,Fri,Fri,5:00,PM,April,10800,12463,2011,2011,,,HY4TCF,45275.9079513889,{ABED7C22-E331-4A15-87F3-F31352FA2178},836201.978505913,1008237.45209732
79,38,Ballas Rd,Manchester Rd,836201.97850591,1008237.45209732,6,,S,38,1570,Fri,Fri,4:00,PM,June,16680,17280,2019,2019,lhale_stlcogis3,44748.6141215856,TFrazier_stlcogis,44748.8535408333,{8730CCBA-21D9-4D87-B3AB-8C9345BE47B2},836201.978505913,1008237.45209732
80,1642,Ballas Rd,Manchester Rd,836200.22850941,1008904.26145924,4,,N,1093,1420,Thurs,Thur,0.125,PM,April,13000,13200,2024,2024,lhale_stlcogis3,44748.6141215856,lhale_stlcogis3,44748.6141215856,{85E08C35-3F09-434F-B90A-74FB01E9D41C},836200.228509411,1008904.26145924
81,1016,Ballas Rd,Manchester Rd,836200.22850941,1008904.26145924,4, ,N, ,1467,Wed,Wed,4:00,PM,April,13970,14215,2014,2014,HY4KLS,41963.7261226852,HY4TCF,45275.908599537,{A61A4523-F31B-4F18-B985-34B4D395338C},836200.228509411,1008904.26145924
82,39,Banshee Rd,J S McDonnell Blvd,862883.19482841,1064863.01732366,7, ,W,39,696,Wed,Wed,4:00,PM,July,5440,5959,2016,2016,,,HY4TCF,45275.9079513889,{7FA55C7D-FD1E-4CD3-B92B-B18BD7C3380E},862883.194828413,1064863.01732366
83,39,Banshee Rd,J S McDonnell Blvd,862883.19482841,1064863.01732366,7,,W,39,696,Wed,Wed,4:00,PM,July,5440,5959,2016,2016,lhale_stlcogis3,44748.6141215856,lhale_stlcogis3,44748.6141215856,{A97A7915-7776-4ED6-ADE9-AA97559FC2DA},862883.194828413,1064863.01732366
84,40,Baptist Church Rd,Concord Village Rd,859823.00869158,979006.11587507,8, ,N,40,1210,Fri,Wed,4:00,PM,August,13290,14395,2012,2012,,,HY4TCF,45275.9079513889,{FBBE4401-FBFF-4195-9E61-F483E02FA6DB},859823.008691579,979006.115875073
85,40,Baptist Church Rd,Concord Village Rd,859823.00869158,979006.11587507,7,,N,40,1120,Fri,Tue,0.208333333333333,PM,July,11160,11780,2021,2012,lhale_stlcogis3,44748.6141215856,TFrazier_stlcogis,44748.8535456713,{00FE92C9-1643-4A7D-A424-BD2D50FB5B63},859823.008691579,979006.115875073
86,41,Baptist Church Rd,Gravois Rd,859858.63886966,986360.18876532,8, ,S,41,1200,Fri,Fri,5:00,PM,August,9010,10566,2007,2007,,,HY4TCF,45275.9079513889,{FF46927A-5C03-4DAB-8FFB-E4F2B50771D4},859858.638869662,986360.188765325
87,41,Baptist Church Rd,Gravois Rd,859858.63886966,986360.18876532,9,,S,41,840,Fri,Mon,0.291666666666667,AM,October,8490,8670,2019,2019,lhale_stlcogis3,44748.6141215856,TFrazier_stlcogis,44748.8535505671,{A67A676E-81C8-455A-8D8E-E47F99BD180B},859858.638869662,986360.188765325
88,42,Baptist Church Rd,Lindbergh Blvd,859845.9413885,980231.79452607,8, ,N,42,1173,Sat,Sat,6:00,PM,August,10250,13455,2012,2012,,,HY4TCF,45275.9079513889,{8C1D1C77-4944-4E30-907B-E35F0BE2EBCC},859845.941388495,980231.79452607
89,43,Baptist Church Rd,Lindbergh Blvd,859838.81509041,979978.04306507,8, ,S,43,1166,Fri,Fri,6:00,PM,August,12060,13418,2007,2007,,,HY4TCF,45275.9079513889,{C87BB503-D35A-4BB0-A301-320B2601ED3B},859838.81509041,979978.043065071
90,43,Baptist Church Rd,Lindbergh Blvd,859838.81509041,979978.04306507,10,,S,43,1250,Fri,Fri,4:00,PM,October,12690,13850,2019,2019,lhale_stlcogis3,44748.6141215856,TFrazier_stlcogis,44748.8535533912,{CBAFEE88-4A44-4E51-A586-91615804F573},859838.81509041,979978.043065071
